"","Country","date","confirmed","recovered","deaths"
"1","Afghanistan",2020-01-22,0,0,0
"2","Albania",2020-01-22,0,0,0
"3","Algeria",2020-01-22,0,0,0
"4","Andorra",2020-01-22,0,0,0
"5","Angola",2020-01-22,0,0,0
"6","Antigua and Barbuda",2020-01-22,0,0,0
"7","Argentina",2020-01-22,0,0,0
"8","Armenia",2020-01-22,0,0,0
"9","Australia",2020-01-22,0,0,0
"10","Austria",2020-01-22,0,0,0
"11","Azerbaijan",2020-01-22,0,0,0
"12","Bahamas",2020-01-22,0,0,0
"13","Bahrain",2020-01-22,0,0,0
"14","Bangladesh",2020-01-22,0,0,0
"15","Barbados",2020-01-22,0,0,0
"16","Belarus",2020-01-22,0,0,0
"17","Belgium",2020-01-22,0,0,0
"18","Belize",2020-01-22,0,0,0
"19","Benin",2020-01-22,0,0,0
"20","Bhutan",2020-01-22,0,0,0
"21","Bolivia",2020-01-22,0,0,0
"22","Bosnia and Herzegovina",2020-01-22,0,0,0
"23","Botswana",2020-01-22,0,0,0
"24","Brazil",2020-01-22,0,0,0
"25","Brunei",2020-01-22,0,0,0
"26","Bulgaria",2020-01-22,0,0,0
"27","Burkina Faso",2020-01-22,0,0,0
"28","Burma",2020-01-22,0,0,0
"29","Burundi",2020-01-22,0,0,0
"30","Cabo Verde",2020-01-22,0,0,0
"31","Cambodia",2020-01-22,0,0,0
"32","Cameroon",2020-01-22,0,0,0
"33","Canada",2020-01-22,0,0,0
"34","Central African Republic",2020-01-22,0,0,0
"35","Chad",2020-01-22,0,0,0
"36","Chile",2020-01-22,0,0,0
"37","China",2020-01-22,548,28,17
"38","Colombia",2020-01-22,0,0,0
"39","Comoros",2020-01-22,0,0,0
"40","Congo (Brazzaville)",2020-01-22,0,0,0
"41","Congo (Kinshasa)",2020-01-22,0,0,0
"42","Costa Rica",2020-01-22,0,0,0
"43","Cote d'Ivoire",2020-01-22,0,0,0
"44","Croatia",2020-01-22,0,0,0
"45","Cuba",2020-01-22,0,0,0
"46","Cyprus",2020-01-22,0,0,0
"47","Czechia",2020-01-22,0,0,0
"48","Denmark",2020-01-22,0,0,0
"49","Diamond Princess",2020-01-22,0,0,0
"50","Djibouti",2020-01-22,0,0,0
"51","Dominica",2020-01-22,0,0,0
"52","Dominican Republic",2020-01-22,0,0,0
"53","Ecuador",2020-01-22,0,0,0
"54","Egypt",2020-01-22,0,0,0
"55","El Salvador",2020-01-22,0,0,0
"56","Equatorial Guinea",2020-01-22,0,0,0
"57","Eritrea",2020-01-22,0,0,0
"58","Estonia",2020-01-22,0,0,0
"59","Eswatini",2020-01-22,0,0,0
"60","Ethiopia",2020-01-22,0,0,0
"61","Fiji",2020-01-22,0,0,0
"62","Finland",2020-01-22,0,0,0
"63","France",2020-01-22,0,0,0
"64","Gabon",2020-01-22,0,0,0
"65","Gambia",2020-01-22,0,0,0
"66","Georgia",2020-01-22,0,0,0
"67","Germany",2020-01-22,0,0,0
"68","Ghana",2020-01-22,0,0,0
"69","Greece",2020-01-22,0,0,0
"70","Grenada",2020-01-22,0,0,0
"71","Guatemala",2020-01-22,0,0,0
"72","Guinea",2020-01-22,0,0,0
"73","Guinea-Bissau",2020-01-22,0,0,0
"74","Guyana",2020-01-22,0,0,0
"75","Haiti",2020-01-22,0,0,0
"76","Holy See",2020-01-22,0,0,0
"77","Honduras",2020-01-22,0,0,0
"78","Hungary",2020-01-22,0,0,0
"79","Iceland",2020-01-22,0,0,0
"80","India",2020-01-22,0,0,0
"81","Indonesia",2020-01-22,0,0,0
"82","Iran",2020-01-22,0,0,0
"83","Iraq",2020-01-22,0,0,0
"84","Ireland",2020-01-22,0,0,0
"85","Israel",2020-01-22,0,0,0
"86","Italy",2020-01-22,0,0,0
"87","Jamaica",2020-01-22,0,0,0
"88","Japan",2020-01-22,2,0,0
"89","Jordan",2020-01-22,0,0,0
"90","Kazakhstan",2020-01-22,0,0,0
"91","Kenya",2020-01-22,0,0,0
"92","Korea, South",2020-01-22,1,0,0
"93","Kosovo",2020-01-22,0,0,0
"94","Kuwait",2020-01-22,0,0,0
"95","Kyrgyzstan",2020-01-22,0,0,0
"96","Laos",2020-01-22,0,0,0
"97","Latvia",2020-01-22,0,0,0
"98","Lebanon",2020-01-22,0,0,0
"99","Lesotho",2020-01-22,0,0,0
"100","Liberia",2020-01-22,0,0,0
"101","Libya",2020-01-22,0,0,0
"102","Liechtenstein",2020-01-22,0,0,0
"103","Lithuania",2020-01-22,0,0,0
"104","Luxembourg",2020-01-22,0,0,0
"105","Madagascar",2020-01-22,0,0,0
"106","Malawi",2020-01-22,0,0,0
"107","Malaysia",2020-01-22,0,0,0
"108","Maldives",2020-01-22,0,0,0
"109","Mali",2020-01-22,0,0,0
"110","Malta",2020-01-22,0,0,0
"111","Mauritania",2020-01-22,0,0,0
"112","Mauritius",2020-01-22,0,0,0
"113","Mexico",2020-01-22,0,0,0
"114","Moldova",2020-01-22,0,0,0
"115","Monaco",2020-01-22,0,0,0
"116","Mongolia",2020-01-22,0,0,0
"117","Montenegro",2020-01-22,0,0,0
"118","Morocco",2020-01-22,0,0,0
"119","Mozambique",2020-01-22,0,0,0
"120","MS Zaandam",2020-01-22,0,0,0
"121","Namibia",2020-01-22,0,0,0
"122","Nepal",2020-01-22,0,0,0
"123","Netherlands",2020-01-22,0,0,0
"124","New Zealand",2020-01-22,0,0,0
"125","Nicaragua",2020-01-22,0,0,0
"126","Niger",2020-01-22,0,0,0
"127","Nigeria",2020-01-22,0,0,0
"128","North Macedonia",2020-01-22,0,0,0
"129","Norway",2020-01-22,0,0,0
"130","Oman",2020-01-22,0,0,0
"131","Pakistan",2020-01-22,0,0,0
"132","Panama",2020-01-22,0,0,0
"133","Papua New Guinea",2020-01-22,0,0,0
"134","Paraguay",2020-01-22,0,0,0
"135","Peru",2020-01-22,0,0,0
"136","Philippines",2020-01-22,0,0,0
"137","Poland",2020-01-22,0,0,0
"138","Portugal",2020-01-22,0,0,0
"139","Qatar",2020-01-22,0,0,0
"140","Romania",2020-01-22,0,0,0
"141","Russia",2020-01-22,0,0,0
"142","Rwanda",2020-01-22,0,0,0
"143","Saint Kitts and Nevis",2020-01-22,0,0,0
"144","Saint Lucia",2020-01-22,0,0,0
"145","Saint Vincent and the Grenadines",2020-01-22,0,0,0
"146","San Marino",2020-01-22,0,0,0
"147","Sao Tome and Principe",2020-01-22,0,0,0
"148","Saudi Arabia",2020-01-22,0,0,0
"149","Senegal",2020-01-22,0,0,0
"150","Serbia",2020-01-22,0,0,0
"151","Seychelles",2020-01-22,0,0,0
"152","Sierra Leone",2020-01-22,0,0,0
"153","Singapore",2020-01-22,0,0,0
"154","Slovakia",2020-01-22,0,0,0
"155","Slovenia",2020-01-22,0,0,0
"156","Somalia",2020-01-22,0,0,0
"157","South Africa",2020-01-22,0,0,0
"158","South Sudan",2020-01-22,0,0,0
"159","Spain",2020-01-22,0,0,0
"160","Sri Lanka",2020-01-22,0,0,0
"161","Sudan",2020-01-22,0,0,0
"162","Suriname",2020-01-22,0,0,0
"163","Sweden",2020-01-22,0,0,0
"164","Switzerland",2020-01-22,0,0,0
"165","Syria",2020-01-22,0,0,0
"166","Taiwan*",2020-01-22,1,0,0
"167","Tajikistan",2020-01-22,0,0,0
"168","Tanzania",2020-01-22,0,0,0
"169","Thailand",2020-01-22,2,0,0
